Date,Name,Nanabush,Redbarn,Home
"2021-05-02","asparagus",3,0,1
"2021-06-02","haskaps",4,0,0
"2021-06-02","sour-cherries",4,0,0
"2021-07-02","black-currants",4,0,0
"2021-07-07","black-currants",11.5,0,0
"2021-07-09","black-currants",9.25,0,0
"2021-07-12","black-currants",8,0,0.5
"2021-07-12","red-currants",3,0,0
"2021-07-12","white-currants",4,0,0
"2021-07-12","mulberry",0,0,0.25
"2021-07-12","gooseberry",0.25,0,0
"2021-07-15","black-currants",7,0,0
"2021-07-15","chokecherries",1,0,0
"2021-07-16","black-currants",11,0,0
"2021-07-22","black-currants",4,0,0
"2021-07-28","asian-pear",0,0,1
"2021-07-28","pear",0,0,0.5
"2021-07-30","mulberries",0,0,0.5
"2021-07-31","black-currants",2,0,0
"2021-07-31","garlic",5,0,0
"2021-07-31","turnip",1.5,0,0
"2021-08-01","asian-pear",0,0,5
"2021-08-01","pear",0,0,1
"2021-08-02","asian-pear",0,0,12
"2021-08-09","black-currants",4,0,0
"2021-08-09","black-currants",0,0.75,0
"2021-08-09","apples",0,2,0
"2021-08-09","apples",1.5,0,0
"2021-08-09","elderberries",1.5,0,0
"2021-08-10","pears",0,0,1.5
"2021-08-12","pears",0,0,4.5
"2021-08-12","arctic-kiwi",0,0,0.5
"2021-08-13","elderberries",6.5,0,0
"2021-08-15","arctic-kiwi",6.5,0,0.5
"2021-08-15","pears",0,0,12.5
"2021-08-16","pears",0,0,3.5
"2021-08-18","pears",0,0,9.5
"2021-08-19","elderberries",0,0,5
"2021-08-19","grapes",0,0,2
"2021-08-19","arctic-kiwi",0,0,0.5
"2021-08-31","pears",0,0,3.5
"2021-09-01","plums",0,0,1.5
"2021-09-07","pears",0,0,9.5
"2022-05-20","asparagus",10,0,0
"2022-07-07","white-currants",1.2,0,0
"2022-07-08","black-currants",9,0,0
"2022-07-21","black-currants",4,0,0
"2022-07-21","red-currants",1,0,0
"2024-05-15","asparagus",2,0,0
"2024-05-21","asparagus",5,0,0
"2024-05-28","asparagus",10,0,0
"2024-06-07","asparagus",5,0,0
"2024-06-12","asparagus",5,0,0
"2024-06-20","garlic scapes",4.5,0,0
"2024-07-08","red-currants",2,0,0
"2024-07-08","white-currants",4,0,0
"2024-07-08","white-currants",0,0.5,0
"2024-07-12","black-currants",0,13,0
"2024-07-12","black-currants",0,4,0
"2024-07-16","black-currants",0,10,0
"2024-07-19","black-currants",5.5,0,0
"2024-07-19","garlic",15,0,0
"2024-07-20","black-currants",13.5,0,0
"2024-07-20","red-currants",4.5,0,0
"2024-07-20","early plums",4.5,0,0
